Friday, December 5
Testing two additional boards
Board 2, direct MUXOUT / ADCIN connection
experiment 1: Single ended sweep
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,3.0,-0.100002489984,-1.00006680E+00,+5.00066200E+00,-78.5023055294
2.04,2.96,-0.0920000586659,-9.20030110E-01,+5.00065820E+00,-80.5450471604
2.08,2.92,-0.0840055368841,-8.40082020E-01,+5.00065820E+00,-73.852625141
2.12,2.88,-0.0760095849633,-7.60122580E-01,+5.00065940E+00,-64.3895234701
2.16,2.84,-0.0680000919849,-6.80020720E-01,+5.00065820E+00,-61.5548026596
2.2,2.8,-0.0600055214018,-6.00073680E-01,+5.00065940E+00,-53.4683207487
2.24,2.76,-0.0520112816244,-5.20126360E-01,+5.00066070E+00,-48.9423226382
2.28,2.72,-0.0440159216523,-4.40172210E-01,+5.00065820E+00,-39.666941353
2.32,2.68,-0.0360057298094,-3.60062610E-01,+5.00065940E+00,-37.8515733546
2.36,2.64,-0.0280104916543,-2.80113360E-01,+5.00065940E+00,-25.1353726846
2.4,2.6,-0.0200151830912,-2.00155580E-01,+5.00066070E+00,-20.297046595
2.44,2.56,-0.0120051626116,-1.20056370E-01,+5.00065820E+00,-9.61902972278
2.48,2.52,-0.00401022657752,-4.01017200E-02,+5.00065690E+00,-5.33316281815
2.52,2.48,0.00398437641561,+3.98446520E-02,+5.00065820E+00,3.87904318322
2.56,2.44,0.0119788926095,+1.19793530E-01,+5.00065940E+00,9.75632816017
2.6,2.4,0.0199896279722,+1.99899020E-01,+5.00066200E+00,21.3271280354
2.64,2.36,0.0279842223972,+2.79849050E-01,+5.00065940E+00,26.7213105511
2.68,2.32,0.0359792474657,+3.59800260E-01,+5.00066070E+00,35.4399346443
2.72,2.28,0.0439893044531,+4.39905170E-01,+5.00065940E+00,40.6086779141
2.76,2.24,0.0519849490374,+5.19863020E-01,+5.00065690E+00,48.5297358985
2.8,2.2,0.0599792089313,+5.99811570E-01,+5.00065690E+00,52.1221806906
2.84,2.16,0.0679737560451,+6.79755350E-01,+5.00065940E+00,63.6970318865
2.88,2.12,0.0759841650724,+7.59861100E-01,+5.00065690E+00,71.2602251661
2.92,2.08,0.0839805241674,+8.39828750E-01,+5.00065570E+00,76.5456359658
2.96,2.04,0.0919744614512,+9.19771930E-01,+5.00066070E+00,83.1821425882
3.0,2.0,0.0999766334891,+9.99793210E-01,+5.00065820E+00,92.736412114
experiment 4: +/-1V sweep, VCM = 4.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
4.0,5.0,-0.100010090321,-1.00013540E+00,+5.00065570E+00,-84.6547169462
4.04,4.96,-0.0920069996268,-9.20090940E-01,+5.00065940E+00,-89.3537742801
4.08,4.92,-0.0840121496469,-8.40143350E-01,+5.00065570E+00,-78.238108996
4.12,4.88,-0.0760168962181,-7.60185280E-01,+5.00065820E+00,-74.6283971995
4.16,4.84,-0.0680068835616,-6.80084670E-01,+5.00065940E+00,-65.6919100599
4.2,4.8,-0.0600117940456,-6.00136010E-01,+5.00065820E+00,-53.728251829
4.24,4.76,-0.0520163346082,-5.20177840E-01,+5.00065940E+00,-47.8629900272
4.28,4.72,-0.0440214924514,-4.40223450E-01,+5.00065690E+00,-44.0271428441
4.32,4.68,-0.0360112689435,-3.60125190E-01,+5.00065820E+00,-30.5831290789
4.36,4.64,-0.0280167467892,-2.80172330E-01,+5.00065820E+00,-28.6569813234
4.4,4.6,-0.0200211826712,-2.00217040E-01,+5.00065940E+00,-18.788000265
4.44,4.56,-0.0120112717152,-1.20113590E-01,+5.00065820E+00,-13.4973742268
4.48,4.52,-0.00401588603854,-4.01554480E-02,+5.00065940E+00,-8.22660845675
4.52,4.48,0.00397953502834,+3.97926930E-02,+5.00065820E+00,7.41837825404
