-40C run 1
Vref = 4.999600
experiment 1: Low CM
neg,pos,LTC2449,HP3456
0.112,0.288,-0.0352064464241,-1.76073410E-01
0.128,0.272,-0.0288160350174,-1.44117990E-01
0.144,0.256,-0.0224130470306,-1.12091980E-01
0.16,0.24,-0.0160103719682,-8.00707200E-02
0.176,0.224,-0.00961835868657,-4.81145760E-02
0.192,0.208,-0.00323291867971,-1.61682260E-02
0.208,0.192,0.0031694304198,+1.58476770E-02
0.224,0.176,0.00955713167787,+4.77959620E-02
0.24,0.16,0.0159455817193,+7.97698160E-02
0.256,0.144,0.0223459918052,+1.11755960E-01
0.272,0.128,0.0287536811084,+1.43770420E-01
0.288,0.112,0.0351438857615,+1.75759810E-01
0.304,0.096,0.0415318887681,+2.07670950E-01
0.32,0.08,0.0479271952063,+2.39694640E-01
0.336,0.064,0.0543232783675,+2.71680810E-01
0.352,0.048,0.0607020370662,+3.03630730E-01
0.368,0.032,0.0671052914113,+3.35607080E-01
0.384,0.016,0.0735179558396,+3.67678540E-01
experiment 2: Ideal CM
neg,pos,LTC2449,HP3456
2.3,2.7,-0.0799825955182,-3.99946830E-01
2.316,2.684,-0.0736141484231,-3.68039070E-01
2.332,2.668,-0.067210316658,-3.36021110E-01
2.348,2.652,-0.0608007591218,-3.04004760E-01
2.364,2.636,-0.0544314589351,-2.72137380E-01
2.38,2.62,-0.0480243396014,-2.40119020E-01
2.396,2.604,-0.0416180640459,-2.08086440E-01
2.412,2.588,-0.0352145396173,-1.76068550E-01
2.428,2.572,-0.0288384296,-1.44194280E-01
2.444,2.556,-0.0224346965551,-1.12172010E-01
2.46,2.54,-0.0160305183381,-8.01484340E-02
2.476,2.524,-0.00965284369886,-4.82674720E-02
2.492,2.508,-0.00324935466051,-1.62525820E-02
2.508,2.492,0.00312812067568,+1.56693810E-02
2.524,2.476,0.00953010097146,+4.76856520E-02
2.54,2.46,0.0159141384065,+7.95715930E-02
2.556,2.444,0.0223188158125,+1.11554770E-01
2.572,2.428,0.0287146829069,+1.43612230E-01
2.588,2.412,0.0350918453187,+1.75461380E-01
2.604,2.396,0.0415030810982,+2.07517870E-01
2.62,2.38,0.0479001738131,+2.39503910E-01
2.636,2.364,0.0543049834669,+2.71529350E-01
