Friday, December 5
Testing two additional boards
Board 1, direct MUXOUT / ADCIN connection
experiment 1: Single ended sweep
neg,pos,LTC2498,inmeter, refmeter, error (uV)
4.6,4.4,0.0199835952371,+1.99844300E-01,+5.00048590E+00,8.67437576987
4.64,4.36,0.0279797717929,+2.79809540E-01,+5.00048720E+00,12.0838142135
4.68,4.32,0.0359742183238,+3.59759750E-01,+5.00048720E+00,13.1695696557
4.72,4.28,0.0439829185605,+4.39850440E-01,+5.00048840E+00,16.4301185857
4.76,4.24,0.0519777532667,+5.19802560E-01,+5.00048720E+00,19.3824004374
4.8,4.2,0.0599729724228,+5.99758960E-01,+5.00048970E+00,22.3049293528
4.84,4.16,0.0679664928466,+6.79700000E-01,+5.00048720E+00,22.9989605842
4.88,4.12,0.0759768553078,+7.59803760E-01,+5.00048840E+00,29.8899595553
4.92,4.08,0.0839720811695,+8.39760820E-01,+5.00048970E+00,32.1572012644
4.96,4.04,0.091967240721,+9.19714210E-01,+5.00048720E+00,36.7739161738
5.0,4.0,0.0999706685543,+9.99754450E-01,+5.00048840E+00,37.8902957618

Board 1, Common Mode Control circuit active, 1MHz F0
experiment 1: Single ended sweep
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,1.5,0.0499833390117,+4.99836470E-01,+5.00044690E+00,35.5972161423
2.0,1.616,0.0383887011558,+3.83883970E-01,+5.00044570E+00,32.6545966379
2.0,1.732,0.0267860624939,+2.67856740E-01,+5.00044570E+00,24.5477041471
2.0,1.848,0.0151894211769,+1.51896880E-01,+5.00044820E+00,9.12483271673
2.0,1.964,0.00358544737101,+3.58567090E-02,+5.00044570E+00,0.530523671667
2.0,2.08,-0.00801048912108,-8.00994780E-02,+5.00044690E+00,-11.6117259499
2.0,2.196,-0.0196062363684,-1.96055640E-01,+5.00044940E+00,-21.9930166383
2.0,2.312,-0.0312097873539,-3.12090070E-01,+5.00044690E+00,-31.9536670191
2.0,2.428,-0.0428047608584,-4.28046860E-01,+5.00044570E+00,-33.7681708366
2.0,2.544,-0.0544092807919,-5.44087030E-01,+5.00044440E+00,-47.6077681146
2.0,2.66,-0.0660050984472,-6.60041780E-01,+5.00044310E+00,-59.7775735561
2.0,2.776,-0.0776094984263,-7.76078200E-01,+5.00044690E+00,-76.838480213
2.0,2.892,-0.0892057139426,-8.92034280E-01,+5.00044690E+00,-91.8867931475
2.0,3.008,-0.10080216378,-1.00800480E+00,+5.00044570E+00,-94.5965727068
2.0,3.124,-0.112406445667,-1.12403680E+00,+5.00044820E+00,-114.929013773
2.0,3.24,-0.124003372341,-1.24000120E+00,+5.00044940E+00,-129.097212351
2.0,3.356,-0.135607132688,-1.35603570E+00,+5.00044690E+00,-140.559658466
2.0,3.472,-0.147203597426,-1.47199520E+00,+5.00044690E+00,-154.680383458
2.0,3.588,-0.158800346777,-1.58795980E+00,+5.00044690E+00,-166.547450472
2.0,3.704,-0.170404041186,-1.70399150E+00,+5.00044820E+00,-181.213523795
2.0,3.82,-0.182000749558,-1.81995480E+00,+5.00044820E+00,-194.000928246
2.0,3.936,-0.193603976816,-1.93598910E+00,+5.00044570E+00,-200.014240623
2.0,4.052,-0.205200516805,-2.05195490E+00,+5.00044570E+00,-208.559701122
2.0,4.168,-0.2167958159,-2.16790560E+00,+5.00044690E+00,-220.315566127
2.0,4.284,-0.228400197625,-2.28394360E+00,+5.00044820E+00,-235.706120093
2.0,4.4,-0.239997377247,-2.39991680E+00,+5.00044940E+00,-243.882369444
experiment 2: +/-1V sweep, VCM = 1.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
